"","value"
"58_01:486762",2.52294038672699
"58_03:486763",2.83066162590398
"58_04:486764",2.71285043677969
"58_05:486765",2.62687186971316
"58_06a:486766",2.71956173407553
"59_01:486767",3.03751820369152
"59_03:486768",2.70290466776451
"59_04:486769",2.25910660560766
"59_05:486770",2.45620474316312
"59_06:486771",3.10851735061482
"6_01:486510",2.77716800617923
"6_04:486513",2.72071047420446
"6_05a:486514",3.14472781579529
"60_01:486772",2.95932403813196
"60_02:486773",2.32157911015906
"60_04:486774",3.27815573231683
"60_05:486775",2.28703638381261
"60_06:486776",2.44873972523301
"61_01:486777",2.41495569454729
"61_02a:486778",3.3859604408075
"7_01a:486515",2.70116717687081
"7_02a:486516",2.75836343144501
"7_03:486517",2.95734812520885
"7_04:486518",2.62658290734887
"7_06:486520",2.49543150049818
"8_01:486521",2.97797766805806
"8_02:486522",2.77780844807537
"8_03:486523",2.66094456703286
"8_04:486524",2.64203536861508
"8_05:486525",2.82282068537214
"8_06:486526",2.50026816638847
"9_01:486527",3.0125207188635
"9_03a:486528",3.25222664776818
"9_04:486529",3.0246102439392
"9_05:486530",2.6299109334649
"9_06:486531",3.33253788837302
"B01:486779",2.89041792002679
"B07:486780",2.16813961176587
"B12:486781",2.6186132034052
"B25:486782",2.89164659408879
"B26:486783",2.4685973147157
"B28:486784",2.58305898330159
"B30:486785",2.51062649660034
"B46:486786",2.67561796892805
"B50:486787",2.41073851760613
"D93:486788",2.15349117042517
