<Trait>	SC	15NT1	15NT2	15NT3	DT	DPS	AR	PDM	PTN_percent	PTN	GDM	GTN_percent	GTN
26_06:486606	11.63590852	97.60331209	91.14584612	79.90571663	82.62934741	82.71797487	2.539018661	205.2894884	1.269379219	2.546133208	35.9565572	2.057396616	0.706403998
27_01:486607	12.83371183	100.3800497	92.0598544	84.09250118	89.62543134	95.56747911	2.774065078	203.0709981	1.027188028	2.054679753	20.62991615	2.125694079	0.444346126
27_02:486608	10.52989854	94.52719982	88.47380766	75.22137831	94.70698068	98.37981702	3.47836274	188.3904041	1.254169674	2.26745086	NA	NA	NA
27_04:486609	9.102883219	91.85670909	90.3471084	79.27724239	81.45312409	85.60335028	3.117795	203.7831259	1.21849946	2.409004009	23.83385754	2.142947911	0.430576348
27_06:486610	11.67822044	103.7371144	92.79621017	80.53562104	79.91645238	84.98183174	4.170615987	234.5868195	1.221175616	2.942029308	13.07319691	2.317175228	0.260241882
28_01:486611	12.69305475	99.57202768	91.59536379	80.02991209	81.22679532	82.40404956	2.07137233	213.4317078	1.13657624	2.493815696	13.6733816	2.279944915	0.283238479
28_02:486612	7.704119951	96.03903209	89.3429125	75.55754863	85.30358847	85.29459646	2.603914658	208.2233544	1.236795459	2.437838984	28.75284797	2.034769948	0.457063171
28_03:486613	13.64420176	92.48566311	85.91723885	78.69042386	79.94201215	80.41642304	2.329952386	189.1498858	1.177528135	2.120154451	31.20178118	2.068421976	0.592948036
28_04:486614	11.26363504	92.00409077	85.4427393	77.85466179	73.3737499	73.69636718	1.552785124	181.9502245	1.120665736	1.955998554	28.03781	2.180222425	0.612035524
28_05:486615	12.6223135	93.60336433	86.61113669	79.38254312	80.46374919	85.23809528	2.721143609	200.3709856	1.336441298	2.593084864	11.88104146	2.48351029	0.231476981
29_01:486616	11.66566811	105.3322911	95.21490379	82.07160196	77.96285391	80.74111874	3.328589788	210.2104834	1.218981943	2.725265214	13.29885611	2.248348877	0.262817726
29_02a:486619	2.602241452	105.1663847	85.46240148	80.25531396	89.94139812	89.79710046	3.277562085	208.5631422	1.256324695	2.696740411	10.86863215	2.287143549	0.183659422
29_03:486620	12.84049674	90.9555925	87.9379623	76.15986688	80.7200824	80.55121369	2.229577653	202.6665517	1.115430595	2.161935848	28.29311109	2.102588543	0.543952125
29_04:486621	9.181109488	98.78828316	90.95803132	81.16799731	83.38541308	83.0373064	3.531938218	198.8986677	1.388497808	2.776810345	19.74380934	2.299140575	0.430883281
29_05:486617	13.09081986	94.59163329	89.31816746	78.87172642	83.7033481	83.07772141	3.292991144	203.0180501	1.312538954	2.644345384	15.89486897	2.479582315	0.366079228
