Longitude,Latitude,Plot,TFamily,Line,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrt_T,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN,GTN_logT,GTN_sqrtT
5,4,5.04,TB,B 38,1,4,0.698970004,2.121320344,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00,0.698970004,2.121320344,193.00,2.28780173,13.91042774,1.59,0.413299764,1.445683229,NA,NA,NA,NA,NA,NA
5,5,5.05,TB,B 61,1,10,1.041392685,3.240370349,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,0.301029996,1.224744871,199.83,2.302835797,14.15391583,1.03,0.307496038,1.236931688,35.0,1.556302501,5.958187644,1.93,0.46686762,1.558845727
5,6,5.06,TB,B 70,1,13,1.146128036,3.674234614,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,0.636822098,1.957890021,181.67,2.261659304,13.49691323,1.39,0.378397901,1.374772708,NA,NA,NA,NA,NA,NA
5,7,5.07,TD,D 108,2,13,1.146128036,3.674234614,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00,0.602059991,1.870828693,246.67,2.393867559,15.72153512,1.3,0.361727836,1.341640786,18.7,1.294466226,4.38178046,2.05,0.484299839,1.596871942
5,8,5.08,TD,D 94,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,0.669006781,2.041241452,292.67,2.467854654,17.12211046,1.16,0.334453751,1.288409873,11.2,1.086359831,3.420526275,2.22,0.507855872,1.64924225
5,9,5.09,N,Negative,2,14,1.176091259,3.807886553,58,1.770852012,7.64852927,65,1.819543936,8.093207028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0,0.707106781,208.67,2.321529391,14.46259543,0.59,0.201397124,1.044030651,214.1,2.33264041,14.64923206,1.45,0.389166084,1.396424004
5,10,5.10,TD,D 22,2,8,0.954242509,2.915475947,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33,0.801632346,2.415229458,267.83,2.429483117,16.38088317,1.59,0.413299764,1.445683229,NA,NA,NA,NA,NA,NA
5,11,5.11,TD,D 96,2,14,1.176091259,3.807886553,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.367976785,1.354006401,174.33,2.243864489,13.22245565,1.07,0.315970345,1.252996409,68.2,1.840106094,8.288546314,1.77,0.442479769,1.506651917
5,12,5.12,TD,D 05,2,14,1.176091259,3.807886553,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,0.753327667,2.273030283,208.17,2.320492475,14.44529912,1.31,0.36361198,1.345362405,15.1,1.206825876,3.949683532,2.56,0.551449998,1.749285568
6,1,6.01,TB,B 11,1,14,1.176091259,3.807886553,92,1.968482949,9.617692031,92,1.968482949,9.617692031,117.23,2.07274358,10.85054496,111.13,2.049728773,10.56559486,88.94,1.953943165,9.457165929,3.33,0.636822098,1.957890021,174.00,2.243038049,13.20984481,1.58,0.411619706,1.44222051,1.0,0.30820858,1.238278375,2.3,0.51851394,1.673320053
6,2,6.02,B,B73,1,13,1.146128036,3.674234614,58,1.770852012,7.64852927,65,1.819543936,8.093207028,128.03,2.110706883,11.33731929,NA,NA,NA,NA,NA,NA,0.00,0,0.707106781,146.00,2.167317335,12.10371844,1.53,0.403120521,1.424780685,1.1,0.329058719,1.278019301,2.42,0.534026106,1.708800749
6,3,6.03,T,Positive,1,14,1.176091259,3.807886553,122,2.089905111,11.06797181,128,2.11058971,11.33578405,111.15,2.049780348,10.56622505,103.28,2.018186298,10.18707341,101.92,2.01250985,10.12039461,5.67,0.823908741,2.483277404,306.33,2.487609666,17.51665874,1.21,0.344392274,1.307669683,3.2,0.626682466,1.932183566,1.975,0.47348697,1.573213272
6,4,6.04,TB,B 14,1,4,0.698970004,2.121320344,85,1.934498451,9.246621004,85,1.934498451,9.246621004,211.73,2.3278361,14.5682396,145.38,2.165469517,12.07790873,131.02,2.120626284,11.46803877,4.33,0.726998728,2.198484326,196.50,2.2955671,14.03566885,1.4,0.380211242,1.378404875,25.8,1.428674626,5.131601439,2.21,0.506505032,1.646207763
