<Trait>	15NT1	15NT2	15NT3	AR	DPS	DT	GDM	GTNP	GTN	PDM	PTNP	PTN	SC
25_01a:486597	97.61127317	90.67727011	79.10312075	5.078336029	99.19944241	93.81614588	8.4824391	2.130337462	0.173278506	219.5675373	1.380721297	3.243999653	6.548773108
25_02:486598	96.59052413	86.29101553	78.14006171	3.133729698	97.4957063	95.76639465	8.811305448	2.196419658	0.196567203	205.083301	1.337035041	2.762409152	9.534832826
25_03:486599	99.54531808	87.91373625	77.85570893	6.948503134	103.2696847	100.851002	6.076023994	2.262638251	0.130574681	209.2885011	1.293751932	2.764522628	1.253846047
25_04:486600	100.3007023	90.58780646	78.58814572	4.931818407	97.39556314	91.4063111	NA	NA	NA	228.5988034	1.368963226	3.382395458	6.60660828
25_06:486601	100.7063912	88.74889688	79.06481025	2.929222199	95.27349181	93.62514349	20.03492046	2.325006211	0.426054584	199.8452757	1.272055476	2.539531801	10.75851258
26_01a:486602	94.57946786	83.22599907	77.60222138	4.504874266	99.23467326	93.85447036	6.214749764	2.274262895	0.138172293	216.6401923	1.313527483	3.073828572	5.958133823
26_02:486603	100.4424502	91.37193425	79.27817136	3.986438989	97.31452943	95.67398483	2.026801162	2.650393236	0.057905331	207.1594707	1.252852003	2.680254362	10.39122182
26_04:486604	106.7776095	93.11972851	80.72136607	4.810419084	97.56317259	93.2047392	10.99907006	2.143886439	0.233764136	222.9638585	1.459254421	3.431752874	4.021749992
26_05:486605	97.09347895	89.57016154	78.4221494	3.444203331	95.30842935	93.75021503	21.86496433	2.132567098	0.424422892	173.3233202	1.331746787	2.274146076	11.13597937
26_06:486606	98.96376454	90.95059108	79.7664152	3.682817829	97.52415374	95.6885306	27.30021058	2.109391503	0.506907608	204.3845263	1.311940486	2.728892659	9.48356906
27_01:486607	102.8889017	92.02652266	82.95789198	3.932037915	107.4148375	101.0100722	14.54858396	2.164270886	0.299789196	200.7032982	1.179801162	2.245523892	10.36801122
27_02:486608	96.82127318	87.95823946	76.49178243	4.568383235	109.7255901	105.2892205	NA	NA	NA	184.9056365	1.322675363	2.467381613	8.366976599
27_04:486609	94.01927793	90.06883466	79.14668501	4.156168084	99.80483343	95.5406822	14.78961338	2.191352924	0.310843064	198.4210816	1.302261651	2.597450308	7.050955093
27_06:486610	104.6264142	92.79034866	80.19020685	5.273492139	98.92822502	93.65414128	6.623608724	2.333856839	0.150390344	233.4723824	1.294204942	3.116632241	9.507924259
28_01:486611	101.402052	91.66209562	79.93978026	3.302738574	97.45362953	95.48190527	5.781543558	2.296567264	0.138453499	214.0892466	1.247445331	2.756470759	10.38678706
28_02:486612	99.3389305	89.07243389	76.74507332	3.8442214	99.35139153	97.49734071	16.09367382	2.093254544	0.305721209	208.4622331	1.299555766	2.634683254	5.685800458
28_03:486613	96.45629174	87.05442497	79.1733616	3.601661535	95.57706448	93.81449783	19.87430642	2.11708614	0.373642091	189.6318268	1.274812346	2.362183497	11.35650409
28_04:486614	95.30814325	85.5534341	78.34139321	2.758105622	90.45783726	88.79445379	19.89595466	2.214873657	0.415620542	180.0795136	1.22921673	2.150697627	9.110874607
28_05:486615	96.32869209	86.05050314	79.35559632	3.811613882	99.29439251	93.88992379	4.247413951	2.470966086	0.105003716	199.690152	1.355625372	2.744623347	10.42352908
29_01:486616	106.7628514	94.86354328	81.0462436	4.490048766	95.56915958	91.39714578	3.856438923	2.277621436	0.095263439	212.081057	1.286368879	2.930087729	9.394333859
29_02a:486619	106.1885706	85.89925843	80.07673413	4.555037087	102.9903855	101.0999312	2.330258367	2.308805055	0.064215882	213.7774196	1.331398896	3.020169951	0.597680894
29_03:486620	95.25295969	88.00235083	77.11345251	3.472611346	95.60290593	93.96371594	17.59936008	2.143950519	0.337830016	203.6528407	1.229524877	2.392199764	10.40551226
29_04:486621	100.6004826	90.45339302	80.49727301	4.793675334	97.6427007	95.86710139	11.0594747	2.299058371	0.258657497	205.4229099	1.387635673	3.003928982	7.002425519
29_05:486617	95.96109441	88.20174548	78.81301938	4.461519939	97.51893256	95.93058665	7.794089246	2.464836673	0.210245844	205.1877738	1.353370164	2.868295553	10.71655084
29_06:486618	91.98126742	84.24640298	75.89302332	3.411560401	95.64582968	91.2713527	16.78827267	2.1388863	0.336076172	203.2415029	1.281069285	2.660207749	11.13744122
30_01a:486622	97.89262483	88.93175886	77.49872815	4.064463089	110.1917788	108.1915532	15.84449902	2.185570199	0.334731069	282.4829346	1.205208507	3.264488537	7.001948589
30_02a:486623	96.92661319	91.12008682	80.0392934	3.879008934	95.46193697	93.69085831	8.2387502	2.232025926	0.187595115	225.3571104	1.249738748	2.714392556	9.965593939
30_03:486624	109.7706456	92.39101127	80.58135164	4.156659698	95.26878266	91.08457333	2.379719185	2.405578509	0.060030695	229.1955854	1.421040714	3.48035751	7.59625077
30_05:486625	98.48572751	91.57450558	79.70410084	3.764595556	94.71402494	91.21751992	5.942588865	2.184827939	0.125717678	198.0923088	1.328241668	2.641365195	9.544133336
30_06:486626	93.86062365	85.96314997	78.21930572	3.274922979	95.34064603	91.10158674	20.8758647	2.153071662	0.427598267	192.622898	1.281403193	2.389709194	6.219654012
