Longitude,Latitude,Plot,TFamily,Parent1,Parent2,Line,Genotype,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrtT,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN_percent,PTN_percent_logT,PTN_percent_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN_percent,GTN_percent_logT,GTN_percent_sqrtT,GTN,GTN_logT,GTN_sqrtT
49,11,49.11,TB,T,B,B 56,4_05:486502,2,8,0.954242509,2.915475947,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,132.37,2.125058151,11.526925,99.84,2.003632837,10.01698557,5.67,0.824125834,2.48394847,227.5,2.358886204,15.09966887,1.04,0.309630167,1.240967365,2.366,0.527114112,1.69292646,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,13.04,TB,T,B,B 57,13_04:486550,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,85,1.934498451,9.246621004,125,2.100370545,11.20267825,110.11,2.045753148,10.51712889,89.68,1.957511511,9.496315075,1.67,0.426511261,1.473091986,177.17,2.25083458,13.32929105,1.11,0.324282455,1.268857754,1.966587,0.472257089,1.570537169,22.8,1.376576957,4.827007354,2,0.477121255,1.58113883,0.456,0.163161375,0.977752525
57,11,57.11,TB,T,B,B 57,13_04:486550,2,14,1.176091259,3.807886553,85,1.934498451,9.246621004,92,1.968482949,9.617692031,84,1.929418926,9.192388155,68.39,1.841296887,8.3,68.31,1.840795899,8.295179323,2,0.477121255,1.58113883,233.67,2.370457573,15.30261416,0.87,0.271841607,1.170469991,2.032929,0.481862244,1.591517829,9.9,1.037426498,3.224903099,2.24,0.51054501,1.655294536,0.22176,0.086985902,0.849564594
15,5,15.05,TB,T,B,B 58,15_05:486562,1,5,0.77815125,2.34520788,85,1.934498451,9.246621004,92,1.968482949,9.617692031,114.33,2.061942292,10.71587607,97.82,1.99484485,9.915644205,101.15,2.009238371,10.08216247,4,0.698970004,2.121320344,174.33,2.243856233,13.2223296,0.97,0.294466226,1.212435565,1.691001,0.429913859,1.480203027,0.8,0.255272505,1.140175425,2.15,0.498310554,1.62788206,0.0172,0.007406352,0.719166184
50,9,50.09,TB,T,B,B 58,15_05:486562,2,5,0.77815125,2.34520788,92,1.968482949,9.617692031,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,60.03,1.78554337,7.780102827,4.67,0.753583059,2.2737634,242,2.385606274,15.5724115,0.92,0.283301229,1.191637529,2.2264,0.508718209,1.651181395,23.6,1.390935107,4.909175083,1.93,0.46686762,1.558845727,0.45548,0.163006242,0.977486573
11,4,11.04,TB,T,B,B 59,11_04:486540,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.77815125,2.34520788,177,2.250420002,13.32291259,1.3,0.361727836,1.341640786,2.301,0.518645524,1.673618834,6.9,0.897627091,2.720294102,2,0.477121255,1.58113883,0.138,0.056142262,0.798749022
58,9,58.09,TB,T,B,B 59,11_04:486540,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,80,1.908485019,8.972179222,72.82,1.868174041,8.562709851,58.82,1.776846409,7.701947806,48.85,1.697665163,7.024955516,NA,NA,NA,189.33,2.279507248,13.77788082,1.39,0.378397901,1.374772708,2.631687,0.560108411,1.769657311,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,7.02,TB,T,B,B 60,7_02a:486516,1,9,1,3.082207001,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,0.938019097,2.858321186,128.5,2.112269768,11.35781669,1.85,0.45484486,1.532970972,2.37725,0.52856321,1.696245855,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,5.05,TB,T,B,B 61,5_05:486508,1,10,1.041392685,3.240370349,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.301029996,1.224744871,199.83,2.302828588,14.15379808,1.03,0.307496038,1.236931688,2.058249,0.485472842,1.599452719,35,1.556302501,5.958187644,1.93,0.46686762,1.558845727,0.6755,0.224144432,1.084204778
48,8,48.08,TB,T,B,B 61,5_05:486508,2,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,55.95,1.755493728,7.513321503,56.08,1.756483964,7.521967828,2,0.477121255,1.58113883,256.33,2.41049042,16.02591651,0.87,0.271841607,1.170469991,2.230071,0.509212069,1.65229265,40.1,1.613841822,6.371812929,1.96,0.471291711,1.568438714,0.78596,0.251871728,1.134001764
10,1,10.01,TB,T,B,B 62,10_01:486532,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,85,1.934498451,9.246621004,77.72,1.896085085,8.844207144,57.97,1.770631128,7.646567858,69.71,1.849480837,8.379140767,3.33,0.636487896,1.957038579,181.83,2.262047459,13.50296264,1.66,0.424881637,1.469693846,3.018378,0.604050787,1.87573399,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,7,54.07,TB,T,B,B 62,10_01:486532,2,13,1.146128036,3.674234614,65,1.819543936,8.093207028,80,1.908485019,8.972179222,59.77,1.783689236,7.763375554,43.83,1.651568739,6.658077801,42.26,1.636086515,6.53911309,3.67,0.669316881,2.042057786,260.67,2.417753934,16.16075493,0.91,0.281033367,1.187434209,2.372097,0.527900059,1.694726232,31.2,1.507855872,5.630275304,2.09,0.489958479,1.609347694,0.65208,0.218031074,1.073349896
7,4,7.04,TB,T,B,B 63,7_04:486518,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.367355921,1.352774926,206.83,2.317708238,14.3989583,1.28,0.357934847,1.334166406,2.647424,0.561986251,1.774098081,34.6,1.551449998,5.924525297,2.02,0.480006943,1.587450787,0.69892,0.230172929,1.094952054
49,7,49.07,TB,T,B,B 63,7_04:486518,2,12,1.113943352,3.535533906,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,86.66,1.942801466,9.335952014,69.67,1.849235091,8.376753548,2.67,0.564666064,1.780449381,172.17,2.238472657,13.14039573,0.98,0.29666519,1.216552506,1.687266,0.429310657,1.478940837,41.6,1.629409599,6.488451279,1.775,0.443262987,1.508310313,0.7384,0.240149713,1.112834219
12,1,12.01,TB,T,B,B 64,12_01:486543,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,75.13,1.88155583,8.69655104,69.54,1.848435455,8.368990381,48.09,1.690993032,6.970652767,3.67,0.669316881,2.042057786,225.33,2.354742123,15.0276412,1.34,0.369215857,1.356465997,3.019422,0.604163605,1.87601226,34.1,1.545307116,5.882176468,1.87,0.457881897,1.539480432,0.63767,0.214226393,1.066616145
52,11,52.11,TB,T,B,B 64,12_01:486543,2,15,1.204119983,3.937003937,80,1.908485019,8.972179222,80,1.908485019,8.972179222,105.9,2.028977705,10.31503757,81.76,1.917820482,9.069729875,72.36,1.865459323,8.535806933,3,0.602059991,1.870828693,244.5,2.390051496,15.65247584,0.82,0.260071388,1.148912529,2.0049,0.477830024,1.582687588,13.8,1.170261715,3.78153408,2.23,0.509202522,1.652271164,0.30774,0.116521408,0.898743567
10,3,10.03,TB,T,B,B 65,10_03a:486534,1,12,1.113943352,3.535533906,85,1.934498451,9.246621004,92,1.968482949,9.617692031,105.3,2.026533265,10.2859127,93.51,1.975477763,9.695875412,92.69,1.971693239,9.653496776,2.33,0.522444234,1.682260384,205.83,2.315613532,14.36419159,1.37,0.374748346,1.367479433,2.819871,0.582048697,1.822051317,1.1,0.322219295,1.264911064,2.28,0.515873844,1.6673332,0.02508,0.01075776,0.72462404
48,7,48.07,TB,T,B,B 65,10_03a:486534,2,10,1.041392685,3.240370349,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,86.08,1.93991842,9.304837452,77.6,1.895422546,8.837420438,4.67,0.753583059,2.2737634,332,2.522444234,18.23458253,0.95,0.290034611,1.204159458,3.154,0.618466492,1.911543879,34,1.544068044,5.873670062,2.12,0.494154594,1.618641406,0.7208,0.235730397,1.104898185
5,1,5.01,TB,T,B,B 66,5_01:486503,1,14,1.176091259,3.807886553,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.367355921,1.352774926,96.33,1.988246723,9.840223575,1.67,0.426511261,1.473091986,1.608711,0.416425969,1.452140145,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,12,46.12,TB,T,B,B 66,5_01:486503,2,15,1.204119983,3.937003937,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,104.77,2.024362504,10.26011696,82.4,1.921166051,9.104943712,1.67,0.426511261,1.473091986,217.67,2.339789205,14.77057886,0.99,0.298853076,1.220655562,2.154933,0.498990141,1.629396514,2,0.477121255,1.58113883,2.23,0.509202522,1.652271164,0.0446,0.018950022,0.737970189
17,5,17.05,TB,T,B,B 67,17_05a:486570,1,10,1.041392685,3.240370349,80,1.908485019,8.972179222,85,1.934498451,9.246621004,124.29,2.097916409,11.17094445,100.36,2.005866602,10.04290795,81.83,1.918187661,9.073588044,1,0.301029996,1.224744871,130.83,2.120014252,11.45993019,0.8,0.255272505,1.140175425,1.04664,0.311041458,1.243639819,20,1.322219295,4.527692569,1.84,0.45331834,1.529705854,0.368,0.136086097,0.931665176
57,10,57.1,TB,T,B,B 67,17_05a:486570,2,8,0.954242509,2.915475947,80,1.908485019,8.972179222,85,1.934498451,9.246621004,73.07,1.869642345,8.577295611,71.34,1.859378504,8.47584804,61.64,1.796851749,7.88289287,1,0.301029996,1.224744871,153,2.187520721,12.38951169,NA,NA,NA,NA,NA,NA,29.4,1.482873584,5.468089246,2.07,0.487138375,1.603121954,0.60858,0.206442665,1.052891257
7,6,7.06,TB,T,B,B 68,7_06:486520,1,8,0.954242509,2.915475947,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,0.564666064,1.780449381,179.83,2.257270482,13.42870061,1.19,0.340444115,1.3,2.139977,0.496926467,1.624800603,38.8,1.599883072,6.268971207,2.14,0.496929648,1.624807681,0.83032,0.262527025,1.153394989
50,11,50.11,TB,T,B,B 68,7_06:486520,2,10,1.041392685,3.240370349,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,96.25,1.98788961,9.836157786,71.47,1.860158261,8.483513423,1.67,0.426511261,1.473091986,143.83,2.160858531,12.01374213,1.08,0.318063335,1.256980509,1.553364,0.407112731,1.432956385,19.3,1.307496038,4.449719092,2.01,0.478566496,1.584297952,0.38793,0.142367563,0.942300377
14,6,14.06,TB,T,B,B 69,14_06:486558,1,13,1.146128036,3.674234614,85,1.934498451,9.246621004,92,1.968482949,9.617692031,121.32,2.087497472,11.03720979,110.03,2.04544034,10.51332488,105.96,2.029221394,10.31794553,3.33,0.636487896,1.957038579,163,2.214843848,12.78671185,0.94,0.28780173,1.2,1.5322,0.403498004,1.425552524,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,11,58.11,TB,T,B,B 69,14_06:486558,2,14,1.176091259,3.807886553,85,1.934498451,9.246621004,85,1.934498451,9.246621004,61.03,1.792601781,7.844106068,53.9,1.739572344,7.375635566,42.89,1.642365581,6.587108622,2.33,0.522444234,1.682260384,255.5,2.409087369,16,0.89,0.276461804,1.178982612,2.27395,0.515072043,1.665517937,32.2,1.521138084,5.718391382,2.04,0.482873584,1.593737745,0.65688,0.219291056,1.075583563
5,6,5.06,TB,T,B,B 70,5_06:486509,1,13,1.146128036,3.674234614,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,0.636487896,1.957038579,181.67,2.261667229,13.49703671,1.39,0.378397901,1.374772708,2.525213,0.547185363,1.739313945,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,8,47.08,TB,T,B,B 70,5_06:486509,2,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,75.2,1.881954971,8.700574694,63.63,1.810434156,8.008120878,5.67,0.824125834,2.48394847,173.67,2.24221832,13.19734822,1.22,0.346352974,1.311487705,2.118774,0.493983905,1.618262649,2.6,0.556302501,1.760681686,2.3,0.51851394,1.673320053,0.0598,0.025223915,0.748197835
7,3,7.03,TB,T,B,B 71,7_03:486517,1,14,1.176091259,3.807886553,92,1.968482949,9.617692031,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.522444234,1.682260384,189.17,2.279142006,13.77207319,1.56,0.408239965,1.435270009,2.951052,0.596712745,1.857700729,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,7,58.07,TB,T,B,B 71,7_03:486517,2,13,1.146128036,3.674234614,85,1.934498451,9.246621004,85,1.934498451,9.246621004,68.13,1.839666557,8.284322543,65.91,1.82549103,8.149233093,44.23,1.655426588,6.688049043,3.67,0.669316881,2.042057786,262.67,2.421060719,16.22251522,0.93,0.285557309,1.195826074,2.442831,0.536915705,1.715468158,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,4.04,TB,T,B,B 72,4_04:486501,1,14,1.176091259,3.807886553,85,1.934498451,9.246621004,92,1.968482949,9.617692031,146.92,2.170026898,12.14166381,140.49,2.150725747,11.873921,129.82,2.116674145,11.41577855,1.33,0.367355921,1.352774926,245.33,2.391517307,15.6789668,1.18,0.338456494,1.29614814,2.894894,0.590495643,1.842523813,24.2,1.401400541,4.969909456,2.2,0.505149978,1.643167673,0.5324,0.185372143,1.016070864
56,10,56.1,TB,T,B,B 72,4_04:486501,2,12,1.113943352,3.535533906,80,1.908485019,8.972179222,85,1.934498451,9.246621004,57.99,1.770778396,7.647875522,48.24,1.692318044,6.98140387,40.72,1.6203443,6.420280368,3,0.602059991,1.870828693,263.33,2.422146456,16.24284458,0.84,0.264817823,1.15758369,2.211972,0.506771751,1.646806607,85.5,1.937016107,9.273618495,2.12,0.494154594,1.618641406,1.8126,0.449107972,1.520723512
13,1,13.01,TB,T,B,B 74,13_01:486547,1,8,0.954242509,2.915475947,92,1.968482949,9.617692031,107,2.033423755,10.36822068,112.66,2.055607652,10.63766892,91.52,1.966235624,9.592705562,65.7,1.824125834,8.136338243,2,0.477121255,1.58113883,178.17,2.253265294,13.36674979,1.35,0.371067862,1.360147051,2.405295,0.532154741,1.704492593,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,12,56.12,TB,T,B,B 74,13_01:486547,2,4,0.698970004,2.121320344,100,2.004321374,10.02496883,100,2.004321374,10.02496883,87.6,1.947433722,9.386160024,59.77,1.783689236,7.763375554,49.59,1.704064679,7.077428912,2.33,0.522444234,1.682260384,215.5,2.335457901,14.69693846,0.92,0.283301229,1.191637529,1.9826,0.474595014,1.575626859,9.3,1.012837225,3.130495168,2.2,0.505149978,1.643167673,0.2046,0.080842859,0.839404551
17,1,17.01,TB,T,B,B 75,17_01:486568,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,85,1.934498451,9.246621004,137.75,2.142232992,11.75797602,92.68,1.971646882,9.652978815,104.39,2.022799405,10.24158191,2.67,0.564666064,1.780449381,193.67,2.289299029,13.93448959,1.07,0.315970345,1.252996409,2.072269,0.487459239,1.60382948,6.1,0.851258349,2.569046516,2.4,0.531478917,1.702938637,0.1464,0.059336177,0.80399005
46,9,46.09,TB,T,B,B 75,17_01:486568,2,14,1.176091259,3.807886553,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,103.01,2.017075096,10.17398644,78.15,1.898450919,8.868483523,3.33,0.636487896,1.957038579,272.17,2.436433003,16.51272237,0.91,0.281033367,1.187434209,2.476747,0.541173089,1.725325187,46.8,1.679427897,6.877499546,1.89,0.460897843,1.545962483,0.88452,0.275200751,1.176656279
8,1,8.01,TB,T,B,B 76,8_01:486521,1,4,0.698970004,2.121320344,85,1.934498451,9.246621004,92,1.968482949,9.617692031,109.06,2.041629508,10.46709129,80.97,1.913654935,9.026073343,74.41,1.877428941,8.655056326,6,0.84509804,2.549509757,190,2.281033367,13.80217374,1.93,0.46686762,1.558845727,3.667,0.669037801,2.0413231,0.2,0.079181246,0.836660027,2.61,0.557507202,1.763519209,0.00522,0.002261121,0.710788295
55,8,55.08,TB,T,B,B 76,8_01:486521,2,7,0.903089987,2.738612788,85,1.934498451,9.246621004,85,1.934498451,9.246621004,78.36,1.899601659,8.88031531,64.73,1.817763632,8.076509147,53.07,1.73295637,7.319152956,3,0.602059991,1.870828693,162.67,2.213969082,12.77380131,0.97,0.294466226,1.212435565,1.577899,0.411265898,1.441491935,23.6,1.390935107,4.909175083,2.27,0.514547753,1.664331698,0.53572,0.18631204,1.017703297
9,4,9.04,TB,T,B,B 77,9_04:486529,1,5,0.77815125,2.34520788,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,0.636487896,1.957038579,231,2.365487985,15.21512405,1.46,0.390935107,1.4,3.3726,0.64073975,1.967892273,0.2,0.079181246,0.836660027,2.27,0.514547753,1.664331698,0.00454,0.001967235,0.710309792
56,7,56.07,TB,T,B,B 77,9_04:486529,2,7,0.903089987,2.738612788,85,1.934498451,9.246621004,92,1.968482949,9.617692031,78.82,1.902111723,8.906177631,45.51,1.66754634,6.783067153,36.55,1.574609941,6.086871117,4,0.698970004,2.121320344,210.67,2.32565931,14.53168951,1.02,0.305351369,1.232882801,2.148834,0.498149766,1.627523886,4.3,0.72427587,2.19089023,2.665,0.564073979,1.779044687,0.114595,0.047117091,0.783961096
15,4,15.04,TB,T,B,B 78,15_04:486561,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,127.29,2.108192805,11.30442391,96.5,1.989004616,9.848857802,96.26,1.987934265,9.836666102,2.67,0.564666064,1.780449381,163.5,2.216165902,12.80624847,1.02,0.305351369,1.232882801,1.6677,0.426136989,1.472311108,12.1,1.117271296,3.54964787,2.38,0.5289167,1.697056275,0.28798,0.109909119,0.887682376
54,11,54.11,TB,T,B,B 78,15_04:486561,2,12,1.113943352,3.535533906,73,1.86923172,8.5732141,80,1.908485019,8.972179222,51.85,1.723044992,7.235329986,42.61,1.639586087,6.565820588,41.75,1.630936119,6.5,2.33,0.522444234,1.682260384,213.67,2.331771356,14.63454817,1.01,0.303196057,1.228820573,2.158067,0.49942134,1.630357936,19.4,1.309630167,4.460941605,2.18,0.50242712,1.637070554,0.42292,0.153180484,0.960687254
12,4,12.04,TB,T,B,B 79,12_04:486544,1,13,1.146128036,3.674234614,85,1.934498451,9.246621004,85,1.934498451,9.246621004,105.87,2.028855809,10.31358328,86.81,1.943543977,9.343982021,82.82,1.923347656,9.127978966,5,0.77815125,2.34520788,153.67,2.189406086,12.41652125,1.17,0.336459734,1.292284798,1.797939,0.446838242,1.515895445,13.8,1.170261715,3.78153408,2.14,0.496929648,1.624807681,0.29532,0.112377071,0.891807154
46,8,46.08,TB,T,B,B 79,12_04:486544,2,15,1.204119983,3.937003937,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,101.11,2.009068276,10.08017857,74.57,1.878349422,8.664294547,5.33,0.80140371,2.414539294,245.5,2.391816924,15.68438714,0.84,0.264817823,1.15758369,2.0622,0.486033552,1.600687352,17,1.255272505,4.183300133,2.07,0.487138375,1.603121954,0.3519,0.130944568,0.92298429
14,4,14.04,TB,T,B,B 80,14_04:486556,1,7,0.903089987,2.738612788,92,1.968482949,9.617692031,92,1.968482949,9.617692031,129.26,2.114811074,11.39122469,130.45,2.11876059,11.44333867,102.61,2.015401674,10.15430943,2,0.477121255,1.58113883,218.83,2.34208696,14.80979406,1.48,0.394451681,1.407124728,3.238684,0.62723104,1.933567687,4.9,0.770852012,2.323790008,2.23,0.509202522,1.652271164,0.10927,0.045037268,0.780557493
50,7,50.07,TB,T,B,B 80,14_04:486556,2,5,0.77815125,2.34520788,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,73.78,1.873785461,8.618584571,63.88,1.812110841,8.02371485,3.33,0.636487896,1.957038579,258.83,2.414689293,16.10372628,1.33,0.367355921,1.352774926,3.442439,0.647621473,1.985557604,31.3,1.509202522,5.639148872,2.19,0.503790683,1.640121947,0.68547,0.226721027,1.08879291
11,1,11.01,TB,T,B,B 82,11_01:486537,1,5,0.77815125,2.34520788,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.698970004,2.121320344,226.17,2.356350978,15.05556376,1.24,0.350248018,1.319090596,2.804508,0.580298502,1.817830575,35.1,1.557507202,5.966573556,2.08,0.488550717,1.60623784,0.73008,0.238066186,1.109089717
50,10,50.1,TB,T,B,B 82,11_01:486537,2,2,0.477121255,1.58113883,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,62.06,1.799753966,7.909487973,4,0.698970004,2.121320344,187,2.274157849,13.69306394,0.95,0.290034611,1.204159458,1.7765,0.443497678,1.508807476,25.6,1.424881637,5.10881591,1.89,0.460897843,1.545962483,0.48384,0.171387074,0.99188709
13,3,13.03,TB,T,B,B 84,13_03:486549,1,13,1.146128036,3.674234614,73,1.86923172,8.5732141,80,1.908485019,8.972179222,113.77,2.059828382,10.68971468,96.43,1.988692703,9.845303449,79.11,1.903686732,8.922443611,3,0.602059991,1.870828693,229,2.361727836,15.14925741,0.92,0.283301229,1.191637529,2.1068,0.492313296,1.614558763,50.8,1.71432976,7.162401832,1.71,0.432969291,1.486606875,0.86868,0.271534937,1.169905979
45,12,45.12,TB,T,B,B 84,13_03:486549,2,11,1.079181246,3.391164992,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,121.13,2.086822357,11.02859919,100.07,2.004622266,10.0284595,3.33,0.636487896,1.957038579,236.17,2.375059754,15.38408268,1.01,0.303196057,1.228820573,2.385317,0.529599342,1.698622089,15.9,1.227886705,4.049691346,1.69,0.42975228,1.479864859,0.26871,0.103362363,0.876761085
9,1,9.01,TB,T,B,B 85,9_01:486527,1,12,1.113943352,3.535533906,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.522444234,1.682260384,189.33,2.279507248,13.77788082,1.67,0.426511261,1.473091986,3.161811,0.619282354,1.913585901,1.5,0.397940009,1.414213562,2.1,0.491361694,1.61245155,0.0315,0.013469232,0.729040465
53,9,53.09,TB,T,B,B 85,9_01:486527,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,120.06,2.08300067,10.97998179,101.38,2.010215125,10.0935623,108.74,2.040364956,10.4517941,2.33,0.522444234,1.682260384,297.17,2.474463945,17.25311566,0.81,0.257678575,1.144552314,2.407077,0.532381949,1.705015249,54.6,1.745074792,7.422937424,1.55,0.40654018,1.431782106,0.8463,0.26630227,1.160301685
11,5,11.05,TB,T,B,B 86,11_05:486541,1,11,1.079181246,3.391164992,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,0.426511261,1.473091986,160.17,2.207284206,12.67556705,1.2,0.342422681,1.303840481,1.92204,0.465686157,1.556290461,13.8,1.170261715,3.78153408,2.41,0.532754379,1.705872211,0.33258,0.124693291,0.912458218
51,11,51.11,TB,T,B,B 86,11_05:486541,2,15,1.204119983,3.937003937,85,1.934498451,9.246621004,85,1.934498451,9.246621004,103.37,2.018575683,10.19166326,116.63,2.070518097,10.82266141,106.63,2.03193334,10.35036231,2,0.477121255,1.58113883,238.17,2.378706704,15.44894818,0.71,0.23299611,1.1,1.691007,0.429914827,1.480205053,3,0.602059991,1.870828693,2.58,0.553883027,1.754992877,0.0774,0.032376971,0.75986841
23,3,23.03,TC,T,C,C 01,23_03:486593,1,4,0.698970004,2.121320344,128,2.11058971,11.33578405,135,2.133538908,11.64044673,93.67,1.976212377,9.704122835,90.98,1.963693405,9.564517761,63.74,1.811172695,8.014985964,10,1.041392685,3.240370349,486.5,2.68797462,22.06807649,1.62,0.418301291,1.456021978,7.8813,0.94847654,2.895047495,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,7,40.07,TC,T,C,C 01,23_03:486593,2,2,0.477121255,1.58113883,128,2.11058971,11.33578405,135,2.133538908,11.64044673,80.24,1.909769915,8.985543946,96.84,1.990516444,9.866103588,NA,NA,NA,11,1.079181246,3.391164992,554.5,2.744684063,23.55843798,1.53,0.403120521,1.424780685,8.48385,0.976984676,2.997307125,20.5,1.33243846,4.582575695,2.1,0.491361694,1.61245155,0.4305,0.155487862,0.964624279
24,5,24.05,TC,T,C,C 02,24_05:486596,1,5,0.77815125,2.34520788,142,2.155336037,11.93733639,142,2.155336037,11.93733639,NA,NA,NA,NA,NA,NA,77.68,1.895864351,8.841945487,8.67,0.985426474,3.028200786,120.67,2.085183508,11.00772456,1.73,0.436162647,1.493318452,2.087591,0.489619766,1.60859908,2.1,0.491361694,1.61245155,1.97,0.472756449,1.571623365,0.04137,0.017605062,0.735778499
44,9,44.09,TC,T,C,C 02,24_05:486596,2,10,1.041392685,3.240370349,128,2.11058971,11.33578405,135,2.133538908,11.64044673,NA,NA,NA,100.97,2.008472419,10.07323185,88.42,1.951434666,9.429740187,6.67,0.884795364,2.677685568,184,2.267171728,13.58307771,1.46,0.390935107,1.4,2.6864,0.566602457,1.785049019,4.9,0.770852012,2.323790008,1.935,0.467608106,1.560448653,0.094815,0.039340739,0.771242504
24,4,24.04,TC,T,C,C 03,24_04:486595,1,10,1.041392685,3.240370349,142,2.155336037,11.93733639,142,2.155336037,11.93733639,100.73,2.007449044,10.06131204,NA,NA,NA,100.71,2.007363654,10.06031809,5,0.77815125,2.34520788,173,2.240549248,13.17193987,1.65,0.423245874,1.46628783,2.8545,0.58596805,1.831529416,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,12,41.12,TC,T,C,C 03,24_04:486595,2,5,0.77815125,2.34520788,128,2.11058971,11.33578405,135,2.133538908,11.64044673,63.1,1.80685803,7.974960815,NA,NA,NA,99.49,2.002122846,9.999499987,4.33,0.726727209,2.197726098,192.67,2.287062353,13.89856108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,4,19.04,TC,T,C,C 04,NA,1,1,0.301029996,1.224744871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,11,39.11,TC,T,C,C 04,NA,2,2,0.477121255,1.58113883,128,2.11058971,11.33578405,142,2.155336037,11.93733639,NA,NA,NA,96.19,1.987621582,9.833107342,63.16,1.807264355,7.978721702,4,0.698970004,2.121320344,176,2.247973266,13.28533026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,6,22.06,TC,T,C,C 05,22_06:486591,1,5,0.77815125,2.34520788,128,2.11058971,11.33578405,128,2.11058971,11.33578405,137.16,2.140382325,11.73285984,131.75,2.12303453,11.5,94.36,1.979366242,9.739609848,4.33,0.726727209,2.197726098,297.67,2.475191602,17.26759972,1.435,0.386498966,1.391042774,4.2715645,0.721939525,2.184391105,NA,NA,NA,NA,NA,NA,NA,NA,NA
