Longitude,Latitude,Plot,TFamily,Parent1,Parent2,Line,Genotype,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrtT,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN_percent,PTN_percent_logT,PTN_percent_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN_percent,GTN_percent_logT,GTN_percent_sqrtT,GTN,GTN_logT,GTN_sqrtT
37,11,37.11,TF,T,F,F 12,58_03:486763,2,7,0.903089987,2.738612788,85,1.934498451,9.246621004,92,1.968482949,9.617692031,105,2.025305865,10.27131929,106.72,2.032296345,10.35470907,91.68,1.966986025,9.60104161,2,0.477121255,1.58113883,209.5,2.3232521,14.49137675,1.4,0.380211242,1.378404875,2.933,0.594723946,1.852835665,4.1,0.707570176,2.144761059,2.13,0.495544338,1.621727474,0.08733,0.036361371,0.766374582
58,3,58.03,TF,T,F,F 12,58_03:486763,1,8,0.954242509,2.915475947,92,1.968482949,9.617692031,92,1.968482949,9.617692031,77.67,1.89580915,8.841379983,57.17,1.764699064,7.594076639,47.3,1.683947131,6.913754407,2.33,0.522444234,1.682260384,217.33,2.339113415,14.75906501,1.29,0.359835482,1.337908816,2.803557,0.580189929,1.817568981,2.9,0.591064607,1.843908891,2.22,0.507855872,1.64924225,0.06438,0.027096705,0.751252288
33,11,33.11,TF,T,F,F 13,49_04:486719,2,15,1.204119983,3.937003937,73,1.86923172,8.5732141,80,1.908485019,8.972179222,95.64,1.985156921,9.805100713,91.58,1.966517176,9.595832429,68.58,1.842484424,8.311437902,2.33,0.522444234,1.682260384,190.17,2.28141974,13.80833082,1.19,0.340444115,1.3,2.263023,0.513620135,1.66223434,17.5,1.267171728,4.242640687,2.04,0.482873584,1.593737745,0.357,0.132579848,0.925742945
49,4,49.04,TF,T,F,F 13,49_04:486719,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,109.63,2.043872912,10.49428416,83.91,1.928958841,9.187491497,2.67,0.564666064,1.780449381,207.5,2.319106059,14.4222051,1.25,0.352182518,1.322875656,2.59375,0.555547862,1.75890591,2.7,0.568201724,1.788854382,2.01,0.478566496,1.584297952,0.05427,0.022951849,0.744493116
32,11,32.11,TF,T,F,F 14,58_04:486764,2,14,1.176091259,3.807886553,92,1.968482949,9.617692031,92,1.968482949,9.617692031,84.03,1.929572179,9.194019795,97.3,1.992553518,9.889388252,70.29,1.853028615,8.413679338,2,0.477121255,1.58113883,198,2.298853076,14.0890028,1.2,0.342422681,1.303840481,2.376,0.528402438,1.695877354,8.1,0.959041392,2.93257566,2.02,0.480006943,1.587450787,0.16362,0.065811177,0.81462875
58,4,58.04,TF,T,F,F 14,58_04:486764,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,92,1.968482949,9.617692031,62.77,1.804616417,7.95424415,49.8,1.705863712,7.092249291,42.36,1.637089274,6.546754921,2.33,0.522444234,1.682260384,212.83,2.330068636,14.60582076,1.37,0.374748346,1.367479433,2.915771,0.592817286,1.848180457,4.4,0.73239376,2.213594362,2.22,0.507855872,1.64924225,0.09768,0.040475751,0.773097665
36,10,36.1,TF,T,F,F 15,50_02:486723,2,14,1.176091259,3.807886553,73,1.86923172,8.5732141,80,1.908485019,8.972179222,42.83,1.641771471,6.582552696,64.3,1.814913181,8.049844719,39.03,1.60238559,6.287288764,2.67,0.564666064,1.780449381,175.5,2.24674471,13.26649916,1.37,0.374748346,1.367479433,2.40435,0.532034203,1.704215362,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2,50.02,TF,T,F,F 15,50_02:486723,1,11,1.079181246,3.391164992,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,76.15,1.88733593,8.754998572,63.6,1.810232518,8.00624756,3.33,0.636487896,1.957038579,207.5,2.319106059,14.4222051,1.24,0.350248018,1.319090596,2.573,0.553033016,1.752997433,7.5,0.929418926,2.828427125,2.18,0.50242712,1.637070554,0.1635,0.065766388,0.814555093
29,8,29.08,TF,T,F,F 16,53_04:486739,2,11,1.079181246,3.391164992,73,1.86923172,8.5732141,80,1.908485019,8.972179222,125.72,2.102845164,11.23476747,116.71,2.07081336,10.82635673,103.28,2.018201022,10.18724693,2.33,0.522444234,1.682260384,203.67,2.31105419,14.28880681,1.24,0.350248018,1.319090596,2.525508,0.547221705,1.739398747,9.2,1.008600172,3.1144823,2.11,0.492760389,1.615549442,0.19412,0.077047972,0.833138644
53,4,53.04,TF,T,F,F 16,53_04:486739,1,14,1.176091259,3.807886553,73,1.86923172,8.5732141,73,1.86923172,8.5732141,74.43,1.877544108,8.656211643,79.19,1.904120213,8.926925563,93.18,1.973958686,9.678842906,1,0.301029996,1.224744871,204,2.311753861,14.30034965,1.3,0.361727836,1.341640786,2.652,0.562530769,1.775387282,8,0.954242509,2.915475947,2.18,0.50242712,1.637070554,0.1744,0.069816043,0.821218607
