<Trait>,15NT1,15NT2,15NT3,AR,DPS,DT,GDM,GTNP,GTN,PDM,PTNP,PTN,SC
22_04:486590,103.5979732,90.29626033,80.21952857,8.05622385,130.3609493,122.7879072,NA,NA,NA,241.8688239,1.287457546,3.491649868,4.009728551
22_06:486591,100.862936,94.47609693,79.57684269,5.513880685,129.5070518,125.5455204,11.08731232,2.198037703,0.248925309,249.3705069,1.296263517,3.368795236,8.235576312
23_01:486592,108.1651871,92.90859153,78.7354329,5.371331162,119.4615351,119.2720695,NA,NA,NA,209.1878581,1.35696176,3.05557572,6.893989889
23_03:486593,91.81661824,89.45052902,76.11245904,9.170441318,132.9011372,125.759716,18.64086663,2.157507744,0.386069173,379.7370819,1.357046109,6.215232748,3.826943995
24_02a:486594,NA,86.80429551,79.44094824,5.369868854,132.9448452,125.6115291,8.523052771,2.273831374,0.194842613,297.6781102,1.363852408,4.640924545,3.387700512
24_04:486595,93.89092218,NA,82.42084358,4.350559981,136.3217329,132.3633224,NA,NA,NA,199.5016263,1.28750569,2.792902097,7.892318241
24_05:486596,NA,90.20933434,80.09109867,6.969818471,136.6058593,132.1805472,7.619024635,2.065617649,0.162788319,181.9923819,1.377556401,2.499207035,7.788383421
25_01a:486597,95.38113403,90.67726992,79.1031202,4.046395268,84.9330699,80.33905621,15.69078553,2.089425593,0.312270338,218.2136255,1.345362404,3.102007346,8.629898507
25_02:486598,93.83483815,86.29101672,78.14005974,1.756047052,83.00351327,83.394749,14.21026953,2.174984509,0.304512944,203.7378785,1.28469617,2.578087144,11.72956291
25_03:486599,97.5657262,87.91373713,77.85570622,6.722734737,91.54372926,91.28507203,11.812605,2.235702138,0.240300869,207.6513452,1.231401704,2.577492539,3.119186436
25_04:486600,98.30750023,90.58780637,78.58814428,3.876106498,82.74506382,77.4943892,NA,NA,NA,227.3659988,1.328504669,3.2649228,8.687587326
25_06:486601,98.16534831,88.74889744,79.06480958,1.430521763,79.32056114,79.01370739,28.69802276,2.305987998,0.602793276,197.9050807,1.181384304,2.279028078,13.04982643
26_01a:486602,91.68166549,83.22600129,77.60221842,3.375270988,85.17964917,80.65884263,12.34118884,2.254156264,0.254431789,215.3905949,1.262260053,2.936208002,8.027751984
26_02:486603,98.49705392,91.37193373,79.27817117,2.753602176,82.66548252,83.0109009,8.483578165,2.65866387,0.182029921,205.9247483,1.179229015,2.505096191,12.6107704
26_04:486604,104.7319475,93.11972745,80.72136825,3.722511469,83.26566268,79.794975,17.22595216,2.116205935,0.360518507,221.8581654,1.450558619,3.319167377,6.000217695
26_05:486605,94.22465875,89.57016162,78.42214774,2.036396142,79.46985904,79.59814375,29.95622183,2.100892306,0.584607055,171.3371252,1.259398646,1.98135115,13.4414766
26_06:486606,96.91589853,90.95059071,79.76641582,2.401238103,83.10810079,83.03348281,35.77890884,2.072622257,0.67187145,203.1510804,1.258795557,2.550602086,11.67935614
27_01:486607,100.3253047,92.0265221,82.9578975,2.696792191,95.77629256,89.87206878,20.98338834,2.137489799,0.427463978,199.2296396,1.079077965,2.009433447,12.62153674
27_02:486608,93.89526161,87.95824039,76.49177756,3.453708269,98.37509323,95.32349604,NA,NA,NA,183.4599319,1.265744508,2.251755841,10.52296283
27_04:486609,91.31974282,90.06883482,79.14668447,2.984877782,85.72081601,82.29414794,21.76884758,2.159494746,0.449625882,196.6743889,1.234949617,2.373921978,9.148160322
27_06:486610,102.8296362,92.79034781,80.19020806,4.269417108,84.36176782,79.56609536,13.63031811,2.312837522,0.286449417,232.082904,1.229980358,2.962217366,11.72644247
28_01:486611,98.96016578,91.66209512,79.93978105,1.815047925,82.53604563,81.49381564,12.72829107,2.27667247,0.27380087,211.9239963,1.14886317,2.522543229,12.66629376
28_02:486612,96.53909224,89.07243434,76.74506904,2.544756751,85.47276761,85.51307716,23.30890528,2.053724618,0.443612634,207.0472475,1.236217619,2.428972036,7.749877687
28_03:486613,93.72519032,87.05442594,79.17336112,2.199025495,80.18069148,79.94555877,28.33138131,2.07804309,0.539196261,187.6386468,1.186569319,2.082107449,13.64348635
28_04:486614,92.14510564,85.55343556,78.34139151,1.256204807,73.97645279,73.62926188,28.25889279,2.181124355,0.584572326,178.5816193,1.145672624,1.898732909,11.31322389
28_05:486615,93.31464059,86.05050446,79.35559617,2.503153009,85.16136246,80.52094043,10.83175096,2.458976402,0.232808947,198.2011031,1.3073588,2.533911742,12.67141909
29_01:486616,105.1187545,94.86354157,81.04624638,3.306942894,80.41931518,77.58541728,10.54469736,2.248634156,0.223984367,210.6727881,1.223696419,2.773630086,11.61354056
29_02a:486619,104.1375464,85.89926014,80.07673517,3.261349992,89.48010296,89.68318231,9.09954649,2.279787646,0.19342938,211.6767243,1.251079831,2.791699381,2.487465336
29_03:486620,92.27894808,88.00235163,77.11344868,2.122704014,80.55603628,81.03024284,25.43883361,2.109301853,0.494153931,202.218765,1.147080617,2.162636899,12.64414329
29_04:486621,98.10386113,90.45339303,80.4972747,3.650524399,83.23680032,83.58698696,17.14652117,2.293102688,0.384951075,204.0438998,1.354121883,2.847769595,9.10942827
29_05:486617,93.3376759,88.20174631,78.81301828,3.275954829,83.03116699,83.97956676,14.72785804,2.456921802,0.351866666,203.8455953,1.306417338,2.67933978,12.98567762
29_06:486618,88.93930036,84.24640495,75.89301758,1.944037961,80.44240187,76.56823453,25.06421335,2.102046691,0.499629331,201.2086959,1.192052226,2.42187693,13.45047476
30_01a:486622,94.99486121,88.93175917,77.49872493,2.825959423,98.89134104,99.04519267,24.37844275,2.146806031,0.505030173,281.466065,1.114740946,3.118538394,9.106384658
30_02a:486623,94.21560993,91.1200865,80.03929444,2.575357777,80.01572816,79.77432893,13.81748246,2.217309016,0.299414479,224.0835768,1.172001935,2.521152854,12.18724614
30_03:486624,107.8102046,92.39101064,80.58135343,2.92609366,79.69545333,76.31446239,9.767473635,2.386625712,0.200702893,227.9518502,1.395873453,3.36456668,9.754217016
30_05:486625,95.76816298,91.57450513,79.70410129,2.440278304,79.05575658,76.70031088,13.14384947,2.152691261,0.265600836,196.7245796,1.274018839,2.436048197,11.74909672
30_06:486626,90.8984998,85.96315131,78.21930369,1.818494197,79.66583343,76.02420323,29.6927103,2.115339073,0.606075044,190.8465792,1.194517153,2.120903076,8.304347533
31_01:486627,99.44119828,88.89992869,81.46448009,3.213374915,82.23727087,75.80326969,12.4692316,2.247002641,0.272230045,214.0935788,1.252093462,2.871003436,13.09869564
31_02:486628,100.5805513,91.51485605,81.92393755,2.137698567,85.16237832,80.31578854,25.2126262,2.203525919,0.542828455,213.2942318,1.184590543,2.494586201,13.01874536
31_03:486629,101.8361511,89.10367589,79.56617636,1.729404969,85.2029141,84.97847492,32.67408494,2.153928994,0.651248786,212.2089061,1.187813778,2.515597042,13.53202446
31_04:486630,98.18121941,92.06101515,80.38065741,1.4065312,88.03495019,84.51030629,14.65708437,2.25576998,0.318006638,217.2987944,1.120269365,2.356643456,13.07015327
31_05:486631,95.13183907,87.31037494,78.57771571,2.208275471,82.54055165,80.06155575,11.67270821,2.320958875,0.261908002,195.3400505,1.23151955,2.386057039,14.39003696
31_06a:486632,97.35562534,90.06709572,79.05683872,2.863012534,87.99710033,85.06229042,NA,NA,NA,149.3503055,1.279000316,1.742076603,9.593500334
32_01:486633,95.27754802,85.3325035,77.84303935,2.1834377,88.47956027,88.50141093,29.04052724,2.090359641,0.559849651,216.0084487,1.249165502,2.788982286,12.17786652
32_02:486634,94.86175744,89.25661996,78.10042395,1.566441275,85.13321805,85.5352429,31.47956262,2.076389468,0.579744791,190.4388767,1.166317335,2.181185266,13.84357705
32_03a:486635,101.4375663,91.84295845,80.33290754,3.523265465,92.18947073,92.22228591,15.72789294,2.093643185,0.316743746,211.3639407,1.249631836,2.557191599,3.712566808
32_04:486636,104.5756256,93.72943906,80.79127334,3.775574747,83.08124597,82.92986707,18.40507873,2.368250602,0.422291851,243.4780263,1.282392712,3.376416212,8.953808695
33_01a:486637,94.89019618,90.88806956,81.7431722,5.762619372,99.64787372,98.58842235,NA,NA,NA,248.3922664,NA,NA,4.568712357
33_02:486638,92.34871587,88.15384197,78.97030902,3.590436966,85.77782619,83.17270245,23.51717138,2.028987037,0.448210937,240.8086711,1.193925149,2.87655064,9.114963517
33_05:486639,98.90672312,92.44514889,79.14543975,2.534187679,79.96866802,79.15645054,27.58177149,2.241970437,0.603545172,216.8899188,1.155079362,2.536626745,13.5389016
33_06:486640,90.15358673,81.62816817,75.58248152,3.517491931,80.75607058,77.08399184,18.82031993,2.069510787,0.37454236,218.4520193,1.424113647,3.438851917,9.171806881
34_02:486641,95.13892416,88.58519575,79.42898121,1.82354851,88.51231746,84.66708755,23.18596091,2.127273055,0.464095366,204.5559435,1.116384169,2.137419585,13.18019891
34_03:486642,96.88945944,89.70509235,80.55086344,3.67948167,85.17849303,80.53634294,22.24668418,2.142827763,0.443642111,216.74839,1.139829724,2.308025889,13.98223603
34_05:486643,100.6077452,91.78547082,77.78984579,3.085298519,82.68482653,80.06744404,20.67854496,2.293477089,0.440008224,223.8364385,1.217137566,2.742995523,12.9949686
34_06:486644,92.02083561,86.02506729,80.24332673,2.945997813,82.68482653,80.21844422,19.93386567,2.191373486,0.410287196,208.2864459,1.247217499,2.572727368,11.68052036
35_01:486645,93.85909287,86.86243686,78.13915236,2.049534694,84.2945999,78.93106498,26.4114585,2.216728036,0.559497563,181.3036111,1.175723582,2.075230841,12.18505806
35_02:486646,100.0732014,91.00078157,78.11476747,3.70760835,91.60323757,91.83704374,11.92719184,2.26305952,0.252873787,266.8073839,1.136604174,2.9663233,10.35932696
35_03:486647,99.42780331,89.90358025,78.67312333,3.381841355,87.8818219,82.00514077,8.255678692,2.272279078,0.171112397,183.5814388,1.152311814,2.045816994,11.83078712
35_04:486648,98.47005872,90.45541135,78.55479393,4.069253375,86.87080645,80.69832005,13.44598929,2.133375308,0.282576722,194.3155258,1.274583281,2.482126958,10.84834614
36_01:486649,95.19710787,89.56768096,78.77437577,3.107836816,82.76964485,80.18300602,10.90321393,2.233201281,0.235204795,206.6001984,1.23579071,2.53196498,10.33700454
36_02:486650,93.79758745,87.48705525,77.75628897,0.729666269,80.22446404,72.94354782,39.73562902,2.10271808,0.774929883,181.1591907,1.12743969,2.001255818,13.45746397
36_03:486651,102.6919859,92.61452321,81.58262135,1.791579282,83.0003829,80.36781929,20.17966433,2.189813083,0.409641479,210.5472516,1.254723654,2.747250449,11.67114411
36_04:486652,91.00185875,86.05287172,76.92368465,2.984294853,82.54650009,76.47613986,43.13471633,2.030726948,0.789215196,226.6863764,1.112957366,2.588500135,13.48569623
36_06:486654,100.0442318,88.61220331,80.83084623,1.587684773,77.25903303,77.15768149,30.0709051,1.938788848,0.500516394,177.024493,1.165536141,1.849990445,14.37421044
37_01:486655,94.50671069,89.3798211,78.21060951,2.493950053,80.21640278,80.0802058,26.54820185,2.082691319,0.531761099,238.0001779,1.203913839,3.065886778,10.38549857
37_03:486656,97.95958025,94.06832745,79.47242622,1.99402862,81.3780189,78.61585931,13.87529912,2.116724241,0.286156942,214.5301905,1.26123071,2.803647595,10.83317078
37_04:486657,94.85215513,90.10426281,79.24620461,4.692033297,85.6872914,82.0801532,31.27634998,2.068466363,0.610802191,260.0023965,1.235206696,3.24160751,10.94904089
37_05:486659,92.20566496,87.04811221,76.49429252,1.708827901,85.17382255,82.67493678,13.55114574,2.160972546,0.283062188,200.8968429,1.200617164,2.288192443,11.71675073
37_06:486660,98.06671506,86.81937423,80.6210932,3.59553248,82.70157787,76.69365647,NA,NA,NA,221.2719079,1.242867085,2.655041582,8.711738126
38_01:486661,101.454185,94.99971113,80.45940213,1.589829659,85.95865865,85.80873287,29.41374483,2.079687314,0.575421996,183.7240372,1.1346424,2.041869594,12.15460768
