PTNP,value
54_04:486744,1.242731299
54_05:486745,1.30620556
55_01:486747,1.123135705
55_02:486748,1.266769696
55_04:486749,1.133981618
55_05:486750,1.192409176
55_06:486751,1.314744441
56_01:486752,1.265395886
56_03:486753,1.16224824
56_04:486754,1.328211732
56_05:486755,1.219150542
56_06:486756,1.136351002
57_01:486757,1.18524209
57_03a:486758,1.247460298
57_04:486759,1.352662959
57_05:486760,1.157283342
57_06:486761,1.270811631
58_01:486762,1.216249646
58_03:486763,1.293627791
58_04:486764,1.231723345
58_05:486765,1.206850515
58_06a:486766,1.254956028
59_01:486767,1.268554942
59_03:486768,1.348090248
59_04:486769,1.100992383
59_05:486770,1.216848511
59_06:486771,1.203889224
6_01:486510,1.223495072
6_04:486513,1.185091447
6_05a:486514,1.185400066
60_01:486772,1.312124161
60_02:486773,1.246454948
60_04:486774,1.177204781
60_05:486775,1.262281482
60_06:486776,1.308990498
61_01:486777,1.177606375
61_02a:486778,1.191771936
7_01a:486515,1.255293302
7_02a:486516,1.369837726
7_03:486517,1.231786335
7_04:486518,1.146662739
7_06:486520,1.220790368
8_01:486521,1.332328961
8_02:486522,1.225675372
8_03:486523,1.180535019
8_04:486524,1.212759197
8_05:486525,1.228932385
8_06:486526,1.145119787
9_01:486527,1.21761964
9_03a:486528,1.292656722
9_04:486529,1.217707512
9_05:486530,1.211860293
9_06:486531,1.177674501
B01:486779,1.208244394
B07:486780,1.102003851
B12:486781,1.112392856
B25:486782,1.293616017
B26:486783,1.371414498
B28:486784,1.295589034
B30:486785,1.109358904
B46:486786,1.111716462
B50:486787,1.172339162
D93:486788,1.094143922
