"","value"
"34_02:486641",84.6223218030642
"34_03:486642",80.3560132149995
"34_05:486643",80.5094759992909
"34_06:486644",80.8729119819477
"35_01:486645",79.5038699483533
"35_02:486646",91.9421572510468
"35_03:486647",82.5024817357719
"35_04:486648",81.0752702768803
"36_01:486649",80.6100635187581
"36_02:486650",72.8756999066343
"36_03:486651",79.7190490340497
"36_04:486652",76.6838825830949
"36_05:486653",59.1194487066118
"36_06:486654",77.2375081340439
"37_01:486655",80.0638900052023
"37_03:486656",78.6073068108211
"37_04:486657",82.0109435730708
"37_05:486659",82.4204957067444
"37_06:486660",76.7580812645283
"38_01:486661",85.6333477360184
"38_02:486662",82.1443640087761
"38_03:486663",85.5200620787398
"38_04:486664",92.5091314141098
"38_05:486665",87.9862027088746
"38_06:486666",83.3094798033385
"39_02:486667",84.7303661126302
"39_03:486668",84.9902388250184
"39_04:486669",82.265866370257
"39_05a:486670",85.8714129333677
"39_06:486671",79.4798822713413
"4_04:486501",83.2785569034992
"4_05:486502",80.8608213561025
"40_01:486672",82.6385908951604
"40_03:486673",80.2944020286761
"40_04:486674",85.3928346933905
"40_06:486676",89.1372718560834
"41_01:486677",95.4301467818249
"41_02:486678",88.2264530223255
"41_05:486679",81.1511088904872
"41_06:486680",83.065773284439
"42_01:486681",76.5579366742732
"42_02a:486682",70.2347444707613
"42_03:486683",85.3412748486677
"42_05a:486684",83.2558266147777
"42_06a:486685",88.9398587237715
"43_01:486686",85.0073421455202
"43_02:486687",80.7071088801305
"43_03:486688",79.5280495021501
"43_05:486689",77.0643776890208
"43_06:486690",79.6439778233449
"44_01:486691",80.2575259593065
"44_02:486692",76.7832829064068
"44_03:486693",80.4481730125238
"44_04:486694",81.0725878369301
"44_05:486695",82.404161273922
"45_01:486696",85.7594830557466
"45_02:486697",77.1944249504205
"45_03:486698",86.050077161303
"45_06:486700",96.0366757396307
"46_02:486701",80.6797860336558
"46_03:486702",80.4419362025204
"46_04:486703",83.0168748041037
"46_05:486704",83.0090912026038
"46_06:486705",85.7088023235843
"47_02:486706",88.2275860598806
"47_03:486707",88.0837296650548
"47_04:486708",84.3110004510961
"47_05:486709",86.6092094103554
"48_01:486710",85.8202955859785
"48_02:486711",76.1406770696881
"48_03:486712",84.2507644215617
"48_04:486713",76.8715115035636
"48_05:486714",82.3603197796222
"48_06:486715",87.9976438275706
"49_01:486716",80.341391767102
"49_02:486717",95.9511319622311
"49_03:486718",99.9561292947941
"49_04:486719",76.924159767635
"49_05a:486720",84.4501515061925
"49_06:486721",80.1843048330748
"5_01:486503",83.1648640788397
"5_02:486504",80.8342159427107
"5_03:486505",83.2838316774195
"5_04a:486506",85.3232048046695
"5_05:486508",76.6069557600806
"5_06:486509",76.5748292803833
"50_01:486722",88.5623870588287
"50_02:486723",74.2743345751928
"50_03:486724",82.3012729151657
"50_04:486725",79.6355379738156
"50_06:486726",80.6154062629044
"51_01:486727",92.7460751025133
"51_03:486728",82.8372566248512
"51_04a:486729",91.8086111662604
"51_05:486730",88.5591054116106
"51_06:486731",84.8388173773953
"52_03:486733",79.6770636189548
"52_06:486735",82.0613375207748
"53_01:486736",87.9082686228696
"53_02:486737",74.0724123041782
"53_03:486738",91.876535165975
"53_04:486739",74.639056921028
"53_06:486740",85.4849796287361
"54_01:486742",83.9860917276548
"54_02:486743",81.8907009531412
"54_04:486744",80.7107647429698
"54_05:486745",82.6092363582172
"54_06:486746",60.1062646299019
"55_01:486747",84.3068780939728
"55_02:486748",85.0780669617284
"55_04:486749",82.1693647798548
"55_05:486750",77.2429450669507
"55_06:486751",85.01631344422
"56_01:486752",85.6210656665013
"56_03:486753",95.2474476147214
"56_04:486754",79.5274159584325
"56_05:486755",82.2015778314363
"56_06:486756",76.719925887209
"57_01:486757",79.9663621481485
"57_03a:486758",84.7148695479864
"57_04:486759",76.3093491211989
"57_05:486760",76.4463189908176
"57_06:486761",87.560610024306
"58_01:486762",85.9178598676155
"58_03:486763",88.7309839227069
"58_04:486764",86.3800074200679
"58_05:486765",80.6360269573094
"58_06a:486766",80.8505082216059
"59_01:486767",80.2510596912047
"59_03:486768",85.2903628236829
"59_04:486769",95.3099841392274
"59_05:486770",80.321907917182
"59_06:486771",88.3633102788866
"6_01:486510",89.3632460429562
"6_02:486511",66.3192109213034
"6_03:486512",119.495745100051
"6_04:486513",83.3822135111124
"6_05a:486514",92.2209709589558
"60_01:486772",88.960908354261
"60_02:486773",77.0038841445823
"60_04:486774",73.702960592403
"60_05:486775",81.0033105567509
"60_06:486776",80.5399805116134
"61_01:486777",79.2750356936473
"61_02a:486778",98.3200322865902
"7_01a:486515",84.5821256492822
"7_02a:486516",84.7770292886966
"7_03:486517",88.7033395301655
"7_04:486518",76.6507345944528
"7_06:486520",77.3180988090053
"8_01:486521",85.1995214215309
"8_02:486522",83.3776737208155
"8_03:486523",73.6184427113422
"8_04:486524",80.3148755788176
"8_05:486525",92.0589885352988
"8_06:486526",82.8588286655516
"9_01:486527",83.0159788743933
"9_03a:486528",82.5026010029447
"9_04:486529",84.5511938216666
"9_05:486530",80.9260343873109
"9_06:486531",80.287036023246
"B01:486779",73.9451366773427
"B07:486780",96.8388157273553
"B12:486781",86.2937191232488
"B25:486782",80.8812879980608
"B26:486783",96.324770314427
"B28:486784",80.5582179778699
"B30:486785",80.0473898890482
"B46:486786",80.5465576475876
"B50:486787",81.1721224059639
"D93:486788",83.0315848169855
