"","value"
"28_05:486615",2.48351028962342
"29_01:486616",2.24834887715132
"29_02a:486619",2.28714354874034
"29_03:486620",2.10258854316511
"29_04:486621",2.29914057494073
"29_05:486617",2.47958231534234
"29_06:486618",2.08985629269595
"30_01a:486622",2.14320106784486
"30_02a:486623",2.21426008520083
"30_03:486624",2.40362855951645
"30_05:486625",2.14637476429673
"30_06:486626",2.10826540003369
"31_01:486627",2.24945344802477
"31_02:486628",2.20328138377945
"31_03:486629",2.15340888054968
"31_04:486630",2.26381251077433
"31_05:486631",2.33360847654058
"32_01:486633",2.07662140915763
"32_02:486634",2.06565767857697
"32_03a:486635",2.07232604763332
"32_04:486636",2.38215845862648
"33_02:486638",2.01223381927376
"33_05:486639",2.24572222800808
"33_06:486640",2.0590852570457
"34_02:486641",2.12040719100524
"34_03:486642",2.13807203364623
"34_05:486643",2.29612593145552
"34_06:486644",2.18530480328022
"35_01:486645",2.22160196175589
"35_02:486646",2.26920177710034
"35_03:486647",2.2794640624247
"36_01:486649",2.23396204738759
"36_02:486650",2.09079374543459
"36_03:486651",2.18946882247991
"36_04:486652",2.01446807269789
"36_05:486653",1.93232211194924
"36_06:486654",1.91450169967653
"37_01:486655",2.07406670750139
"37_03:486656",2.10814099913416
"37_04:486657",2.05816998544566
"37_05:486659",2.15586794347268
"38_01:486661",2.06917321523843
"38_02:486662",2.21037402355361
"38_03:486663",2.06326523049368
"38_04:486664",2.19006200216181
"38_05:486665",2.14844070512539
"38_06:486666",2.10866227681917
"39_02:486667",2.22996124286456
"39_03:486668",2.11421273352845
"39_04:486669",2.35283058945906
"39_05a:486670",2.24612895519596
"39_06:486671",2.11037948202203
"4_04:486501",2.16050087020037
"4_05:486502",2.10807215720607
"40_01:486672",2.12010175629495
"40_03:486673",2.12081465550073
"40_04:486674",2.20002299237796
"40_06:486676",2.0506033184874
"41_01:486677",2.26028635496532
"41_05:486679",2.15822878699503
"41_06:486680",2.23087288770827
"42_01:486681",1.91861480284654
"42_02a:486682",2.06547495984159
"42_03:486683",1.88204872867784
"42_05a:486684",2.18255376659019
"43_01:486686",2.26426590213649
"43_02:486687",2.09498516671129
"43_03:486688",2.21500521285978
"43_05:486689",2.04247441303891
"43_06:486690",2.37114677800436
"44_01:486691",2.06935042117849
"44_02:486692",1.98850845232716
"44_03:486693",2.26895895607519
"44_04:486694",2.36324713250638
"44_05:486695",2.06800842982614
"45_01:486696",2.11844218905195
"45_02:486697",2.08745908305278
"45_03:486698",2.1998554418835
"45_06:486700",2.52951447685961
"46_02:486701",2.13979211043501
"46_03:486702",2.05667476283566
"46_04:486703",1.94051419088761
"46_05:486704",2.34350011152506
"46_06:486705",2.28246518438181
"47_02:486706",2.21750998753392
"47_03:486707",2.06845769315771
"47_04:486708",2.08510189031399
"47_05:486709",2.00207617627661
"48_01:486710",2.24541292552109
"48_02:486711",1.95536975839019
"48_03:486712",2.40869639347977
"48_04:486713",2.18569001313339
"48_05:486714",2.12096150738125
"49_01:486716",2.0037146714279
"49_02:486717",2.40190889461235
"49_04:486719",2.08447487493203
"49_06:486721",2.14023430893801
"5_01:486503",2.20287889162463
"5_02:486504",2.25087695961215
"5_03:486505",2.28165684078493
"5_04a:486506",2.14794441059602
"5_05:486508",2.04829130275523
"5_06:486509",2.23321142891504
"50_01:486722",2.22360930329897
"50_02:486723",2.18584681183598
"50_03:486724",2.11713403442749
"50_04:486725",2.23030802074735
"50_06:486726",1.94278565487847
"51_03:486728",2.25480514466944
"51_04a:486729",2.1739665830124
